Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
12543,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Lamott, Anne",,385480016,9780385480017,5,4.23,Anchor,Paperback,237,1995,1994,9/15/18,5/3/18,might,might (#2),read,,,,1,,,0,,,,,
36064445,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,241300657,9780241300657,4,3.88,Allen Lane,Paperback,272,2018,2018,9/9/18,4/29/18,,,read,,,,1,,,0,,,,,
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,812993012,9780812993011,5,4.21,Random House,Hardcover,368,2014,2009,8/31/18,8/24/18,,,read,,,,1,,,0,,,,,
25614898,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,081298840X,9780812988406,3,4.36,Random House,Hardcover,229,2016,2016,8/7/18,7/2/18,,,read,,,,1,,,0,,,,,
29890867,World After Capital,Albert Wenger,"Wenger, Albert",,,,2,4.04,,,,,,8/3/18,5/14/18,,,read,,,,1,,,0,,,,,
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,345341848,9780345341846,3,3.89,Ballantine Books,Mass Market Paperback,192,1987,1986,8/1/18,5/19/18,,,read,,,,1,,,0,,,,,
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,046509760X,9780465097609,0,3.95,Basic Books,Hardcover,432,2018,2018,,7/28/18,"to-read, might","to-read (#37), might (#13)",to-read,,,,0,,,0,,,,,
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,451191153,9780451191151,0,3.87,Signet Book,Mass Market Paperback,704,1996,1943,,7/24/18,"to-read, might","to-read (#36), might (#12)",to-read,,,,0,,,0,,,,,
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,735216355,9780735216358,3,3.84,Portfolio Penguin,Hardcover,288,2018,2018,7/20/18,4/29/18,,,read,,,,1,,,0,,,,,
693088,Social Theory and Social Structure,Robert K. Merton,"Merton, Robert K.",,29211301,9780029211304,0,4.11,Free Press,Hardcover,702,1968,1949,,7/19/18,"to-read, might","to-read (#35), might (#11)",to-read,,,,0,,,0,,,,,
